"Item ","Fire
Mode ","Spread Min ","Max ","First Attack ","Attack ","Decay ","Delay ","Spread Min Underbarrel:","Max ","First Attack ","Attack ","Decay No","Decay/Shot ","/Shot ","/s ","ADS Spread Min Barrel: No","Max ","First Attack ","Attack ","Decay ","Decay/Shot ","/Shot ","/s ","ADS Spread Modifier (Multiplier) Min ","Max ","First Attack ","Attack ","Decay ","Additive ","Charge Spread Modifier (Multiplier) Min ","Max ","First Attack ","Attack ","Decay ","Additive "
"Yubarev Pistol","Single","0","3","1.5","1.5","2","0","0","3","1.5","1.5","2","0.306","1.194","7.8","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"SHOTGUN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BR-2 Shotgun","Single","4","4","4","0.5","1","0","4","4","4","0.5","1","0.595","-0.095","-0.16","2.2","2.2","2.2","0.28","0.55","0.327","-0.047","-0.08","0.55","0.55","0.55","0.55","0.55","0","","","","","",""
"Deadrig Shotgun","Single","3","3","3","3","7","0","3","3","3","3","7","7.5","-4.5","-4.2","2.55","2.7","2.4","2.4","6.3","6.75","-4.35","-4.06","0.85","0.9","0.8","0.8","0.9","0","","","","","",""
"Devastator Shotgun","Single","3.75","8","3.75","6","10","0","3.75","8","3.75","6","10","8.929","-2.929","-3.28","2.44","5.2","2.44","3.9","6.5","5.804","-1.904","-2.132","0.65","0.65","0.65","0.65","0.65","0","","","","","",""
"","Charge Single","3.75","8","3.75","6","10","0","3.375","7.2","3.75","6","10","8.929","-2.929","-3.28","2.19","4.68","2.44","3.9","6.5","5.804","-1.904","-2.132","0.65","0.65","0.65","0.65","0.65","0","0.9","0.9","1","1","1","0"
"Prism Shotgun","Slug","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.85","0.9","0.8","0.8","0.9","0","","","","","",""
"","Single","2","4","2","1","0.5","0","2","4","2","1","0.5","0.078","0.922","5.917","1.7","3.6","1.6","0.8","0.45","0.07","0.73","4.683","0.85","0.9","0.8","0.8","0.9","0","","","","","",""
"","Combined S","2","4","2","1","0.5","0","2","4","2","1","0.5","0.078","0.922","5.917","1.7","3.6","1.6","0.8","0.45","0.07","0.73","4.683","0.85","0.9","0.8","0.8","0.9","0","","","","","",""
"R97 Shotgun","Rapid","3","6.5","1","1","3","0","3","6.5","1","1","3","0.429","0.571","4","2.25","4.88","0.75","0.75","2.25","0.321","0.429","3","0.75","0.75","0.75","0.75","0.75","0","","","","","",""
"","Single","4.2","10","4","4","5.25","0","4.2","10","4","4","5.25","1.875","2.125","5.95","3.15","7.5","3","3","3.94","1.407","1.593","4.46","0.75","0.75","0.75","0.75","0.75","0","","","","","",""
"Ravager-212 Twin Shotgun","Single","2","3.25","2","2","3","0","2","3.25","2","2","3","0.918","1.082","3.533","1.7","2.93","1.6","1.6","2.7","0.827","0.773","2.527","0.85","0.9","0.8","0.8","0.9","0","","","","","",""
"SMG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"C54 SMG","Rapid","2","5","0.8","0.8","8.25","0","2","5","0.8","0.8","8.25","0.478","0.322","5.563","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"Custodian SMG","Rapid","0.5","2","0.4","0.8","4.5","0","0.5","2","0.4","0.8","4.5","0.301","0.499","7.447","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"","Burst 3","0.5","2","0.08","0.08","8","0","0.5","2","0.08","0.08","8","0.476","-0.396","-6.656","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"","Charge Burst 11","0.5","2","0.08","0.08","8","0","0.5","2","0.08","0.08","8","0.357","-0.277","-6.208","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","1","1","1","0"
"Lumin V SMG","Rapid Burst 3","0.06","0.3","0.3","0.3","4","0","0.06","0.3","0.3","0.3","4","0.306","-0.006","-0.08","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"P8-SC SMG","Rapid","0.3","4.76","1.48","1.23","8","0","0.3","4.76","1.48","1.23","8","0.536","0.694","10.368","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"","Burst 3","0.09","2.78","1.36","1.25","5","0","0.09","2.78","1.36","1.25","5","0.315","0.935","14.833","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"Quartz SMG","Beam Heat","0","2.65","0.6","0.6","3","0","0","2.65","0.6","0.6","3","0.3","0.3","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"","Beam Heat 50%","0","2.65","0.6","0.6","3","0","0","2.65","0.6","0.6","3","0.3","0.3","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"Ripper SMG","Beam","0","1.2","0.2","0.15","0.1","0","0","1.2","0.2","0.15","0.1","0.007","0.143","2.14","0","0","0","0.15","0.1","0.007","0.143","2.14","0","0","0","1","1","0","","","","","",""
"SNIPER RIFLE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"A03 Sniper Rifle","Single","7","15","4.5","4.5","4","0","7","15","4.5","4.5","4","1.067","3.433","12.875","0","0","0","0","4","1.067","-1.067","-4","0","0","0","0","1","0","","","","","",""
"Arrowhead Sniper Rifle","Single","5","12.5","4.5","4.5","3.5","0","5","12.5","4.5","4.5","3.5","2.679","1.821","2.38","0","0","0","0","3.5","2.679","-2.679","-3.5","0","0","0","0","1","0","","","","","",""
"","Charge Single","5","12.5","4.5","4.5","3.5","0","6","15","4.5","4.5","3.5","2.679","1.821","2.38","0","0","0","0","3.5","2.679","-2.679","-3.5","0","0","0","0","1","0","1.2","1.2","1","1","1","0"
"Atzkav Sniper Rifle","Single","11","33","13.5","25","10","0","11","33","13.5","25","10","17.857","7.143","4","0","0","0","0","10","17.857","-17.857","-10","0","0","0","0","1","0","","","","","",""
"P6-LR Sniper Rifle","Single","11","21","11","10","10","0","11","21","11","10","10","10.909","-0.909","-0.833","0","0","0","0","10","10.909","-10.909","-10","0","0","0","0","1","0","","","","","",""
"Scalpel Sniper Rifle","Double","6.5","18.5","6.5","20","11.25","0","6.5","18.5","6.5","20","11.25","13.5","6.5","5.417","0","0","0","0","11.25","13.5","-13.5","-11.25","0","0","0","0","1","0","","","","","",""
"","Single","5","8","8","10","2","0","5","8","8","10","2","4","6","3","0","0","0","0","2","4","-4","-2","0","0","0","0","1","0","","","","","",""
"Zenith Laser Sniper Rifle","Single","4","12","3","3","4","0","4","12","3","3","4","0.738","2.262","12.25","0","0","0","0","4","0.738","-0.738","-4","0","0","0","0","1","0","","","","","",""
"","Charge Single","4","12","3","3","4","0","4","12","3","3","4","0.738","2.262","12.25","0","0","0","0","4","0.738","-0.738","-4","0","0","0","0","1","0","1","1","1","1","1","0"
"GRENADE LAUNCHER","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"GP-33 MOD Grenade Launcher","Single","4","7","4","2","1","0","4","7","4","2","1","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"RAILGUN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Scourge Railgun","Single","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","1","1","1","1","","","","","",""
"","Charge Single","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","1","1","1","1","1","1","1","1","1","0"
"MOUNTED GUN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CF-117 Bulldog Repeater ATLS","Rapid","0.6","0.6","0.022","0.022","2","0","0.6","0.6","0.022","0.022","2","0.16","-0.138","-1.725","0.6","0.6","0.02","0.02","2","0.16","-0.14","-1.75","1","1","1","1","1","1","","","","","",""
"YellowJacket GT-210 Gatling","Rapid","0.54","0.54","0.008","0.008","0.01","0","0.54","0.54","0.008","0.008","0.01","0","0.008","0.19","0.54","0.54","0.01","0.01","0.01","0","0.01","0.24","1","1","1","1","1","1","","","","","",""
"Thlilye Laser Gatling","Rapid","0.518","0.518","1","1","1","0","0.518","0.518","1","1","1","0.04","0.96","24.167","0.52","0.52","1","1","1","0.04","0.96","24.167","1","1","1","1","1","1","","","","","",""
"ROCKET LAUNCHER","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Boomtube Rocket Launcher","Single","6.6","11","6","6","4","0","6.6","11","6","6","4","12","-6","-2","4.62","7.7","4.2","6","4","12","-6","-2","0.7","0.7","0.7","1","1","0","","","","","",""
